ticker,name,sector,ipo,delisted,first_data,last_data,bh_cagr_since_ipo,bh_vol,bh_sharpe,bh_max_dd,corr_qqq,ret_1y,ret_3y,ret_5y,ret_10y,overlay_cagr_zero,overlay_sharpe_zero,overlay_max_dd_zero,overlay_cagr_base,overlay_sharpe_base,overlay_max_dd_base,timing_adds_value_after_costs
NVDA,NVIDIA,semiconductors,1999-01-22,,1999-01-22,2026-07-31,0.36613789530559937,0.592818418445947,0.8216739421753523,-0.8972249337288779,0.6178638266181091,0.12128427533492503,0.6417675583143392,0.5942715807282355,0.6546670229376781,0.41548508946682494,1.0106488264128692,-0.5391828532000291,0.40895823667170617,0.9999942863921281,-0.5392671058691968,True
AMD,Advanced Micro Devices,semiconductors,1990-01-02,,1998-01-02,2026-07-31,0.14621064714729326,0.6278021566803378,0.5297331954631599,-0.9658947368421051,0.5519659296324061,1.6524984680519172,0.6292909266585429,0.3888319210750302,0.5703893038762491,0.20877631998398205,0.6504526350349858,-0.7209333958083691,0.19981982909409224,0.6332604644709082,-0.7263564640762075,True
AVGO,Broadcom,semiconductors,2009-08-06,,2009-08-06,2026-07-31,0.4090732948576299,0.382133987668147,1.0901578303276107,-0.4829996920230347,0.668994065187974,0.2958054281453981,0.6532180370534273,0.5466556512564886,0.4107402015150643,0.22758490959289035,0.7927614561907176,-0.5451631786000215,0.21351500546556346,0.7568577511753625,-0.5769001141910093,False
TSM,Taiwan Semiconductor ADR,semiconductors,1997-10-08,,1998-01-02,2026-07-31,0.17836912305144237,0.43111526990219584,0.5956663758550148,-0.8908481928897444,0.629689283631403,0.6821733028630301,0.6186328850071823,0.30288053958095995,0.33786069562805077,0.13960699348911443,0.5822035167080396,-0.6049489637245276,0.12790629373473705,0.5480222386758603,-0.6448740003753635,False
ARM,Arm Holdings ADR,semiconductors,2023-09-14,,2023-09-14,2026-07-31,0.5865601304255732,0.7683524457912333,0.9709536242360176,-0.5397404269012123,0.6007425619033704,0.46756467166692284,,,,-0.07031613084535115,0.11061034163306786,-0.601249431254276,-0.08148560976746222,0.08715557284115329,-0.6144559673667518,False
MU,Micron,semiconductors,1990-01-02,,1998-01-02,2026-07-31,0.1544784681950344,0.5812788017887628,0.5376153220643293,-0.9824979287491443,0.5824302912414618,6.184636599033423,1.3116265135935121,0.6187894852542182,0.5158307247876999,0.21064734401363028,0.6908904095386903,-0.7218522359805846,0.2011154470808072,0.6699378850059614,-0.7272452492110368,True
MRVL,Marvell,semiconductors,2000-06-27,,2000-06-30,2026-07-31,0.11073201048814862,0.5695466446885951,0.46725912916369083,-0.9159507389145596,0.5855250173820933,1.2995142552146226,0.43763510149942286,0.2652820185706808,0.3343483593586658,0.15009337891452468,0.5651471610603863,-0.5111275649046039,0.13975449499196757,0.5400550316064054,-0.5267878204406273,True
INTC,Intel,semiconductors,1990-01-02,,1998-01-02,2026-07-31,0.07898673957419255,0.41433097930315355,0.39117465999224754,-0.8224514334229867,0.6687984698209404,3.4346116027531934,0.3888762440445239,0.13219712031297992,0.12585027763637036,0.09337991069523821,0.4553223538723655,-0.6910657473475847,0.08566158342659769,0.43039641522324024,-0.7023300059782394,True
QCOM,Qualcomm,semiconductors,1991-12-13,,1998-01-02,2026-07-31,0.16274744711735223,0.45303760887929045,0.557123860970881,-0.867540435025661,0.6583706665341001,-0.05237660933138277,0.08310135362888404,0.025625272712204383,0.12447922818371238,0.09968959001775013,0.45761126352348513,-0.737073740886556,0.0885909468383308,0.4251346969063137,-0.7443020558391509,False
TXN,Texas Instruments,semiconductors,1990-01-02,,1998-01-02,2026-07-31,0.1360723961308734,0.39200653580761236,0.5210445501339633,-0.858123047905466,0.696104859955306,0.5037271581375933,0.19801913736486765,0.11188002780920425,0.18826349141455223,0.11172921603437991,0.542889435523112,-0.5789323365920438,0.10099028816189404,0.5046063247511713,-0.5897568686216912,False
ADI,Analog Devices,semiconductors,1990-01-02,,1998-01-02,2026-07-31,0.14129898399124463,0.42466241138915056,0.5227924427892393,-0.8288644415638717,0.7041363598048318,0.6111359342945872,0.2628882588474726,0.19581003344418724,0.22160493055731623,0.09331450105538996,0.4523227053142194,-0.7109953806954195,0.08160011816760182,0.4150657995518492,-0.7181861706948012,False
